masse_A
t;x;y
1,326600000E1;8,540304436E-1;5,632993895E-2
1,329900000E1;8,523984249E-1;5,739499012E-2
1,333200000E1;8,502365300E-1;5,737379507E-2
1,343200000E1;8,421559180E-1;5,459194502E-2
1,346500000E1;8,394588481E-1;5,402497748E-2
1,349800000E1;8,368041684E-1;4,913422015E-2
1,353100000E1;8,319399048E-1;4,908653129E-2
1,356400000E1;8,292216399E-1;5,068145866E-2
1,359700000E1;8,259840963E-1;5,010919236E-2
1,363000000E1;8,227412540E-1;5,007739979E-2
1,366300000E1;8,194984117E-1;5,004560722E-2
1,369600000E1;8,173365168E-1;5,002441217E-2
1,372800000E1;8,135902920E-1;4,620400476E-2
1,376100000E1;8,027702200E-1;4,717897697E-2
1,379400000E1;7,973654828E-1;4,712598935E-2
1,382700000E1;7,925118168E-1;4,599735305E-2
1,386000000E1;7,897935519E-1;4,759228041E-2
1,389300000E1;7,843994121E-1;4,645834534E-2
1,392600000E1;7,800809211E-1;4,587548152E-2
1,395900000E1;7,746814826E-1;4,528202018E-2
1,399200000E1;7,719897115E-1;4,417457892E-2
1,402500000E1;7,692873429E-1;4,414808511E-2
1,405800000E1;7,649529556E-1;4,518664246E-2
1,409100000E1;7,579373947E-1;4,403681110E-2
1,412400000E1;7,498408864E-1;4,287638223E-2
1,415700000E1;7,401070606E-1;4,332147823E-2
1,419000000E1;7,330809021E-1;4,325259433E-2
1,422300000E1;7,303838323E-1;4,268562679E-2
1,425600000E1;7,217309539E-1;4,314132033E-2
1,428900000E1;7,141696205E-1;4,252666393E-2
1,432200000E1;7,109532720E-1;3,979250274E-2
1,435500000E1;7,055644310E-1;3,811809395E-2
1,438800000E1;6,963922740E-1;3,640659382E-2
1,442100000E1;6,866531495E-1;3,739216355E-2
1,445400000E1;6,823611522E-1;3,410693111E-2
1,448700000E1;6,748051176E-1;3,295180099E-2
1,451900000E1;6,710271003E-1;3,237423593E-2
1,455200000E1;6,656276618E-1;3,178077459E-2
1,458500000E1;6,591631722E-1;2,955529455E-2
1,461800000E1;6,543254025E-1;2,680523707E-2
1,465100000E1;6,500228077E-1;2,460095208E-2
1,468400000E1;6,446392655E-1;2,238606956E-2
1,471700000E1;6,381747759E-1;2,016058952E-2
1,475000000E1;6,284727427E-1;1,736284318E-2
1,478300000E1;6,209326043E-1;1,458629189E-2
1,481600000E1;6,112146748E-1;1,340996672E-2
1,484900000E1;6,101655199E-1;1,015652685E-2
1,488200000E1;6,015550317E-1;6,288430590E-3
1,491500000E1;5,945288733E-1;6,219546684E-3
1,494800000E1;5,858918912E-1;5,053819044E-3
1,498100000E1;5,734821906E-1;2,770052620E-3
1,501400000E1;5,670071034E-1;1,625520027E-3
1,504700000E1;5,610830875E-1;-5,946612525E-4
1,508000000E1;5,551537728E-1;-2,274368808E-3
1,511300000E1;5,443548958E-1;-3,461291496E-3
1,514600000E1;5,395224249E-1;-6,751822701E-3
1,517900000E1;5,298256904E-1;-1,009004276E-2
1,521200000E1;5,201395535E-1;-1,450921027E-2
1,524500000E1;5,158263612E-1;-1,563254782E-2
1,527800000E1;5,120483439E-1;-1,621011288E-2
1,531100000E1;5,045346994E-1;-2,168903279E-2
1,534400000E1;4,958924186E-1;-2,231428671E-2
1,537700000E1;4,867414566E-1;-2,618768173E-2
1,541000000E1;4,760061648E-1;-3,386028911E-2
1,544300000E1;4,727898162E-1;-3,659445031E-2
1,547600000E1;4,646774116E-1;-3,613345801E-2
1,550900000E1;4,555052546E-1;-3,784495814E-2
1,554200000E1;4,463330975E-1;-3,955645827E-2
1,557500000E1;4,350785270E-1;-4,939625931E-2
1,560800000E1;4,302354586E-1;-5,160584306E-2
1,564100000E1;4,259116688E-1;-5,164823316E-2
1,567400000E1;4,184033230E-1;-5,766762679E-2
1,570700000E1;4,103280097E-1;-6,098995057E-2
1,574000000E1;4,038582213E-1;-6,267495689E-2
1,577300000E1;4,028196640E-1;-6,700934421E-2
1,580600000E1;3,893820035E-1;-7,470844540E-2
1,590600000E1;3,770199918E-1;-8,185647534E-2
1,593900000E1;3,706031910E-1;-8,894621890E-2
1,597200000E1;3,673709462E-1;-9,005895892E-2
1,600500000E1;3,641863902E-1;-9,603596246E-2
1,603800000E1;3,669417464E-1;-1,014142059E-1
1,607100000E1;3,610230293E-1;-1,041748609E-1
1,610400000E1;3,534881897E-1;-1,074918859E-1
1,613700000E1;3,508070161E-1;-1,096802746E-1
1,617000000E1;3,464938239E-1;-1,108036122E-1
1,620300000E1;3,400399317E-1;-1,141100397E-1
1,623600000E1;3,319858135E-1;-1,195942583E-1
1,626900000E1;3,314559373E-1;-1,206805045E-1
1,633500000E1;3,217592028E-1;-1,240187246E-1
1,636800000E1;3,174672056E-1;-1,273039570E-1
1,640100000E1;3,163862582E-1;-1,273145546E-1
1,643400000E1;3,163862582E-1;-1,273145546E-1
1,646600000E1;3,163862582E-1;-1,273145546E-1
1,649900000E1;3,110345085E-1;-1,327722794E-1
1,653200000E1;3,088991074E-1;-1,354958431E-1
1,656500000E1;3,056880577E-1;-1,387704780E-1
1,659800000E1;3,024717091E-1;-1,415046392E-1
1,663100000E1;3,024717091E-1;-1,415046392E-1
1,666400000E1;3,003204118E-1;-1,426067817E-1
1,669700000E1;2,987201856E-1;-1,447845729E-1
1,673000000E1;2,954932396E-1;-1,464377866E-1
1,676300000E1;2,933366434E-1;-1,469994554E-1
1,679600000E1;2,916993260E-1;-1,453939305E-1
1,682900000E1;2,889916586E-1;-1,448799506E-1
1,686200000E1;2,889916586E-1;-1,448799506E-1
1,689500000E1;2,868297637E-1;-1,449011457E-1
1,692800000E1;2,868350625E-1;-1,454416194E-1
1,696100000E1;2,868350625E-1;-1,454416194E-1
1,699400000E1;2,868350625E-1;-1,454416194E-1
1,702700000E1;2,868350625E-1;-1,454416194E-1
1,706000000E1;2,868350625E-1;-1,454416194E-1
1,709300000E1;2,868350625E-1;-1,454416194E-1
1,712600000E1;2,868350625E-1;-1,454416194E-1
1,755500000E1;2,937923370E-1;-1,383465771E-1
1,765400000E1;2,980949317E-1;-1,361422921E-1
1,831400000E1;3,060801661E-1;-1,236319150E-1
1,894000000E1;3,125234607E-1;-1,192445400E-1
2,091900000E1;3,200159101E-1;-1,116037252E-1
2,095200000E1;3,194807352E-1;-1,121494977E-1
2,098500000E1;3,194807352E-1;-1,121494977E-1
2,101800000E1;3,194807352E-1;-1,121494977E-1
2,105100000E1;3,194807352E-1;-1,121494977E-1
2,108400000E1;3,194807352E-1;-1,121494977E-1
2,111700000E1;3,194807352E-1;-1,121494977E-1
2,115000000E1;3,194807352E-1;-1,121494977E-1
2,118300000E1;3,194807352E-1;-1,121494977E-1
2,121600000E1;3,194807352E-1;-1,121494977E-1
2,124900000E1;3,194807352E-1;-1,121494977E-1
2,128100000E1;3,195549178E-1;-1,197161299E-1
2,131400000E1;3,277627002E-1;-1,299056492E-1
2,134700000E1;3,305127577E-1;-1,347434189E-1
2,138000000E1;3,251027217E-1;-1,342559328E-1
2,141300000E1;3,229143329E-1;-1,315747592E-1
2,144600000E1;3,240217742E-1;-1,342665303E-1
2,147900000E1;3,224003530E-1;-1,342824266E-1
2,151200000E1;3,224003530E-1;-1,342824266E-1
2,154500000E1;3,224109506E-1;-1,353633741E-1
2,157800000E1;3,224268468E-1;-1,369847952E-1
2,161100000E1;3,229779181E-1;-1,380604439E-1
2,164400000E1;3,219234645E-1;-1,407734101E-1
2,167700000E1;3,229885156E-1;-1,391413914E-1
2,171000000E1;3,229885156E-1;-1,391413914E-1
2,174300000E1;3,246629244E-1;-1,445302323E-1
2,177600000E1;3,246629244E-1;-1,445302323E-1
2,180900000E1;3,246629244E-1;-1,445302323E-1
2,184200000E1;3,246629244E-1;-1,445302323E-1
2,187500000E1;3,246629244E-1;-1,445302323E-1
2,190800000E1;3,246629244E-1;-1,445302323E-1
2,194100000E1;3,246629244E-1;-1,445302323E-1
2,197400000E1;3,246629244E-1;-1,445302323E-1
2,200700000E1;3,246629244E-1;-1,445302323E-1
2,204200000E1;3,246682232E-1;-1,450707060E-1
2,207300000E1;3,246682232E-1;-1,450707060E-1
2,210600000E1;3,246682232E-1;-1,450707060E-1
2,213900000E1;3,246682232E-1;-1,450707060E-1
2,217200000E1;3,246682232E-1;-1,450707060E-1
2,220500000E1;3,246682232E-1;-1,450707060E-1
2,223800000E1;3,246682232E-1;-1,450707060E-1
2,227100000E1;3,262896443E-1;-1,450548098E-1
2,230400000E1;3,273705918E-1;-1,450442122E-1
2,233700000E1;3,273705918E-1;-1,450442122E-1
2,236900000E1;3,300729604E-1;-1,450177184E-1
2,240200000E1;3,305551478E-1;-1,390672087E-1
2,243500000E1;3,305551478E-1;-1,390672087E-1
2,246800000E1;3,305498490E-1;-1,385267350E-1
2,250100000E1;3,337714963E-1;-1,363330475E-1
2,253400000E1;3,353717224E-1;-1,341552563E-1
2,256700000E1;3,385615771E-1;-1,287187265E-1
2,260000000E1;3,390755571E-1;-1,260110591E-1
2,263300000E1;3,406651857E-1;-1,227523205E-1
2,266600000E1;3,406333931E-1;-1,195094781E-1
2,269900000E1;3,432880729E-1;-1,146187208E-1
2,273100000E1;3,470078038E-1;-1,080959448E-1
2,276400000E1;3,475164849E-1;-1,048478037E-1
2,279600000E1;3,480145686E-1;-1,005187151E-1
2,282900000E1;3,501234758E-1;-9,509278283E-2
2,286200000E1;3,522323831E-1;-8,966685054E-2
2,289500000E1;3,559415165E-1;-8,206312706E-2
2,292800000E1;3,580504238E-1;-7,663719477E-2
2,296100000E1;3,557931512E-1;-6,692986278E-2
2,299400000E1;3,583948433E-1;-5,663436820E-2
2,302700000E1;3,603977754E-1;-4,039896142E-2
2,306000000E1;3,608534689E-1;-3,174608307E-2
2,309300000E1;3,618602337E-1;-2,416885341E-2
2,312600000E1;3,644619258E-1;-1,387335883E-2
2,315900000E1;3,638366719E-1;-5,231078006E-3
2,319200000E1;3,631690279E-1;7,734992617E-3
2,322500000E1;3,641810914E-1;1,477174856E-2
2,325800000E1;3,657283299E-1;2,235427699E-2
2,329100000E1;3,633756796E-1;4,179013602E-2
2,335700000E1;3,627080356E-1;5,475620664E-2
2,339000000E1;3,620456903E-1;6,718180354E-2
2,342300000E1;3,619397151E-1;7,799127802E-2
2,345600000E1;3,629146873E-1;8,881135004E-2
2,348900000E1;3,622629396E-1;1,001559995E-1
2,352200000E1;3,556553834E-1;1,125233100E-1
2,355500000E1;3,544737594E-1;1,227817132E-1
2,358800000E1;3,532497454E-1;1,373639063E-1
2,362100000E1;3,537160365E-1;1,449358372E-1
2,365400000E1;3,519674450E-1;1,578913103E-1
2,368700000E1;3,486186274E-1;1,686689922E-1
2,372000000E1;3,430655248E-1;1,837492689E-1
2,375300000E1;3,407658621E-1;1,977803906E-1
2,378600000E1;3,390172707E-1;2,107358637E-1
2,381900000E1;3,367705956E-1;2,193622483E-1
2,385200000E1;3,361294454E-1;2,296259503E-1
2,388500000E1;3,338668740E-1;2,398737560E-1
2,391800000E1;3,283614603E-1;2,500897691E-1
2,395100000E1;3,266075701E-1;2,635857160E-1
2,398400000E1;3,238416163E-1;2,700449069E-1
2,401700000E1;3,204716037E-1;2,829844837E-1
2,405000000E1;3,182249286E-1;2,916108682E-1
2,408300000E1;3,109497283E-1;3,169442493E-1
2,411600000E1;3,070286445E-1;3,309594748E-1
2,414900000E1;3,058894106E-1;3,368940883E-1
2,418200000E1;2,998011331E-1;3,514285925E-1
2,421500000E1;2,942692256E-1;3,643469742E-1
2,424800000E1;2,936280754E-1;3,746106762E-1
2,428100000E1;2,810064243E-1;3,939458588E-1
2,431400000E1;2,755486994E-1;3,992976084E-1
2,434700000E1;2,743670755E-1;4,095560116E-1
2,438000000E1;2,683476818E-1;4,170643574E-1
2,441300000E1;2,606220868E-1;4,332043865E-1
2,444600000E1;2,545073155E-1;4,504412593E-1
2,447900000E1;2,511743942E-1;4,595975200E-1
2,451200000E1;2,505491403E-1;4,682398008E-1
2,454500000E1;2,498814963E-1;4,812058715E-1
2,457800000E1;2,389077601E-1;4,978545817E-1
